Id type length
271 2 9
272 2 7
282 5 8
283 5 8
296 3 2
306 2 20  DateTime ASCII+null 25.01.2020 15:32   32-30-32-30-3A-30-31-3A-32-35-20-31-35-3A-33-32-3A-34-34-00  (2020:01:25 15:32:44null)
531 3 2
33434 5 8
33437 5 8
34850 3 2
34855 3 2
36864 7 4
36867 2 20
36868 2 20
37121 7 4
37377 10 8
37378 5 8
37379 10 8
37380 10 8
37381 5 8
37383 3 2
37385 3 2
37386 5 8
37500 7 3147
37520 2 7
37521 2 7
37522 2 7
40960 7 4
40961 3 2
40962 4 4
40963 4 4
20545 2 4
20546 7 4
41729 7 1
41985 3 2
41986 3 2
41987 3 2
41988 5 8
41992 3 2
41993 3 2
41994 3 2
0 1 4
18 2 7
20507 1 27121
20512 4 4
20513 4 4
20515 3 2
20525 5 8
20526 5 8
20528 3 2
513 4 4
514 4 4
20625 3 128
20624 3 128
